"id","course_id","related_course_id","relation_type","created_at"
"1","81","80","PREREQUISITE","2026-05-13 22:01:38.187454"
"2","82","81","PREREQUISITE","2026-05-13 22:01:38.187454"
"3","98","717","COREQUISITE","2026-05-13 22:01:38.187454"
"4","99","956","COREQUISITE","2026-05-13 22:01:38.187454"
"5","99","96","COREQUISITE","2026-05-13 22:01:38.187454"
"6","100","739","COREQUISITE","2026-05-13 22:01:38.187454"
"7","100","740","COREQUISITE","2026-05-13 22:01:38.187454"
"8","100","8","COREQUISITE","2026-05-13 22:01:38.187454"
"9","102","11","COREQUISITE","2026-05-13 22:01:38.187454"
"10","102","717","COREQUISITE","2026-05-13 22:01:38.187454"
"11","102","98","COREQUISITE","2026-05-13 22:01:38.187454"
"12","106","717","COREQUISITE","2026-05-13 22:01:38.187454"
"13","112","956","COREQUISITE","2026-05-13 22:01:38.187454"
"14","112","96","COREQUISITE","2026-05-13 22:01:38.187454"
"15","113","957","COREQUISITE","2026-05-13 22:01:38.187454"
"16","114","957","COREQUISITE","2026-05-13 22:01:38.187454"
"17","117","115","COREQUISITE","2026-05-13 22:01:38.187454"
"18","120","957","COREQUISITE","2026-05-13 22:01:38.187454"
